State,x,y
Ladakh,-159, 398
Jammu And Kashmir,-240,368
Himachal Pradesh,-170,310
Uttarakhand,-120,256
Punjab,-205, 279
New Delhi,-165, 208
Haryana,-183, 228
Rajasthan,-255, 155
Gujarat,-305, 47
Uttar Pradesh,-65, 157
Madhya Pradesh,-141, 36
Bihar,83, 116
Jharkhand,45, 54
Maharashtra,-230, -70
Sikkim,145, 200
West Bengal,110, 41
Arunachal Pradesh,290, 203
Assam,250, 145
Meghalaya,215, 115
Tripura,235, 67
Mizoram,280, 61
Manipur,308, 99
Nagaland,323, 140
Chhattisgarh,-45, -5
Odisha,50, -32
Karnataka,-219, -217
Kerala,-185, -327
Tamil Nadu,-150, -309
Andhra Pradesh,-150, -203
Telangana,-120, -114
Goa,-253, -179
